LOAN,MORTDUE,VALUE,YOJ,CLAGE,CLNO,DEBTINC
4000,66000,79050,1.8,279,6,NaN
4000,NaN,45760,0,NaN,0,NaN
4000,62000,78000,4,109.566667,15,NaN
4000,64240,63990,5,160.3,23,NaN
4000,74000,93000,2.6,186.633333,9,NaN
4000,55000,59000,12,146.1,22,NaN
4000,67625,80698,11,212.349304,25,39.128718
4000,67533,71865,10,227.792988,25,39.166329
4100,NaN,19132,0,100.774652,19,33.84092
4100,58500,65000,8,63.933333,15,NaN
4100,57992,63797,7,165.505037,31,22.278174
4200,56544,59218,19,211.002599,20,19.027704
4200,34800,50225,2,93.5,5,NaN
4200,67700,77000,4,128.833333,31,NaN
4200,44000,55085,6,75.433333,16,NaN
4200,66272,82953,3,110.278663,15,43.450588
4200,50216,58541,19,209.871302,19,20.208033
4300,71206,78698,3,129.932869,31,34.181377
4300,68815,79852,6,105.120709,14,41.806376
4300,72021,80027,2,263.9703,5,36.432094
4400,53969,63869,7,162.390011,30,23.581079
4400,NaN,60250,NaN,NaN,NaN,NaN
4400,53091,64074,14,89.861058,17,39.158085
4500,66127,79087,4,81.349065,15,40.705309
4500,NaN,77182,NaN,NaN,NaN,25.227253
4500,39000,66000,1,170.366667,19,NaN
4500,71082,79247,4,118.76041,14,41.421111
4500,NaN,49044,0,NaN,0,11.652739
4500,57000,NaN,5,222.6,13,NaN
4500,34184,46000,3.5,122.6,22,NaN
4500,66517,87000,10,125.8,34,NaN
4500,45500,50000,6,86.166667,18,NaN
4500,118000,146870,4.5,203.866667,20,NaN
4500,90000,105800,6,80.1,10,NaN
4700,67913,97205,2,142.824391,24,35.226997
4700,71855,88566,2,283.959538,5,36.475473
4700,53918,59511,6,54.136477,15,34.416508
4700,49100,58238,0.1,61.8,17,NaN
4700,88026,115506,6,182.248332,27,29.209023
4700,26900,45000,9,90.466667,16,NaN
4800,67317,97191,3,137.319725,23,34.275294
4800,56067,63102,9,160.146311,30,21.58376
4800,80482,88342,7,275.032395,11,43.717635
4900,58688,63348,9,179.162575,31,22.544393
4900,65873,90408,2,141.858999,23,37.769619
4900,25597,23031,5,101.746766,8,33.243157
4900,67794,84630,4,112.573419,15,41.673996
4900,44000,59745,10,81.5,13,NaN
4900,NaN,28437.5,NaN,NaN,NaN,NaN
4900,170986,245300,NaN,131.933333,22,NaN
4900,65576,65774,6,61.642506,14,40.59091
4900,57461,68494,8,183.635613,30,22.795424
4900,NaN,69706,NaN,NaN,NaN,33.705588
5000,NaN,34846,NaN,NaN,NaN,33.354653
5000,47479,61690,5,65.032969,16,36.699415
5000,66839,87168,4,122.597223,15,40.616779
5000,12457,53448,NaN,207.143481,12,44.107952
5000,90059,113714,7,193.636447,28,25.897316
5000,22320,34900,10,65.7,5,NaN
5000,40000,70500,0.4,61.766667,8,NaN
5000,100882,102700,5,58.866667,16,NaN
5000,31000,47350,12,NaN,NaN,NaN
5000,63125,126500,3,100.3,14,NaN
5000,100000,129693.5,13,NaN,NaN,NaN
5000,NaN,132000,17.5,121.9,14,NaN
5000,NaN,9100,1,54.733333,8,NaN
5000,34200,50830,6,57,9,NaN
5000,NaN,71277,10,72.433333,12,NaN
5000,123000,157500,9,NaN,NaN,NaN
5000,16600,25250,6,88.7,3,NaN
5000,NaN,52000,NaN,285.333333,6,NaN
5000,22700,34225,4,74.633333,9,NaN
5000,6000,38575,7,335.033333,42,NaN
5000,NaN,74500,19,NaN,NaN,NaN
5000,NaN,94119,19,NaN,NaN,NaN
5000,73126,87500,1,125.966667,10,NaN
5000,72517,86250,19,300.366667,24,NaN
5000,26037,35000,12,182.633333,13,NaN
5000,39000,50340,10,179.833333,19,NaN
5000,NaN,26550,1.7,276.966667,14,NaN
5000,70470,77908,5,NaN,NaN,NaN
5000,NaN,36375,3,266.8,26,NaN
5000,74225,89640,0.3,NaN,NaN,NaN
5000,NaN,65400,1.5,51.766667,4,NaN
5000,NaN,37500,NaN,107.133333,5,NaN
5000,78565,98500,24,51.766667,14,NaN
5000,59900,80800,15,219.133333,18,NaN
5000,10171,26809,13,228.3,24,NaN
5000,78893,82600,16,133.9,34,NaN
5000,85165,107940,6,122.766667,28,NaN
5000,68000,75616,0.1,131.866667,30,NaN
5000,71571,85100,1.4,82.133333,13,NaN
5000,28000,36810,2,222.2,6,NaN
5000,40000,32480,8,163.366667,16,NaN
5000,81748,NaN,14,144.066667,17,NaN
5000,44674,59375,10,178.692509,19,26.448197
5000,61999,75021.3,5,97.1,23,NaN
5000,80153,97275,1,120.675063,10,37.512708
5000,68739,93435,3,148.720405,23,36.669279
5000,51209,55320,5,69.107466,15,35.025073
5000,46696,85202,2,148.340645,14,46.489874
5000,NaN,46281,2,257.652206,26,40.952589
5000,66435,82819,2,125.130626,14,42.183539
5100,179725,251962,NaN,127.498813,22,40.308259
5100,85583,115341,7,177.958255,28,26.25797
5100,72891,80691,1,273.881705,6,39.852147
5100,30755,46735,10,69,17,NaN
5100,NaN,26715,1,258.789298,14,26.722343
5100,87258,121382,6,181.66304,28,25.444759
5100,NaN,28291,2,277.944561,14,23.644691
5100,9900,30451,11,21.2,2,NaN
5100,93000,116875,10,417.633333,50,NaN
5100,15500,34000,0,86.233333,13,NaN
5100,129319,141875,7,157.859802,36,25.650741
5100,66834,87361,0,290.034108,6,38.766985
5100,73882,96031,0,125.7874,10,34.446079
5100,74071,97064,0,121.075973,9,36.40173
5100,62702,79784,2,108.072591,15,43.29014
5200,NaN,36425,2,266.813465,14,23.797401
5200,67000,77000,9,119.7,25,NaN
5200,43039,53521,11,184.296687,19,24.414763
5200,19000,26000,0,17.2,7,NaN
5200,NaN,9500,1,81.1,2,NaN
5200,91250,110000,24,123.766667,12,NaN
5200,16324,45187,NaN,221.118082,11,42.712094
5200,40564,39527,0,157.771036,13,72.670433
5300,73698,84427,4,NaN,NaN,19.131201
5300,66987,65111,4,175.328704,22,40.44257
5300,26908,36078,NaN,302.358709,8,39.196985
5300,NaN,49396,0,NaN,0,12.043671
5300,44993,50673,7,184.742767,18,27.906123
5300,51000,64000,10,98.333333,12,NaN
5300,75958,91703,0,124.182179,10,34.59906
5300,97132,117343,22,109.933908,11,35.838543
5300,60826,80826,10,212.891746,25,38.591494
5300,83552,96809,0,NaN,NaN,28.423962
5300,47449,63895,19,208.162714,20,19.762114
5300,50934,62957,21,197.241957,20,19.350506
5400,53429,64505,5,69.54243,16,36.480236
5400,NaN,65474,1,40.709849,4,37.848771
5400,47844,52040,8,189.034305,18,24.701136
5400,45509,57453,4,95.6,22,NaN
5400,59720,63450,5,199.9,20,NaN
5400,86922,119846,5,185.076347,28,26.354889
5400,68625,82304,2,136.632944,30,32.050023
5400,65814,85848,4,122.940289,15,44.092326
5400,NaN,75254,NaN,NaN,NaN,23.163743
5400,78300,88000,8,102.5,19,NaN
5400,48152,55760,6,78.452126,16,35.763638
5500,70481,82446,8,116.591977,24,37.612683
5500,NaN,35402,NaN,NaN,NaN,35.272074
5500,87765,101053,22,55.558049,13,31.375542
5500,52897,65054,20,189.295319,19,20.654129
5500,24700,35675,1,153.933333,27,NaN
5500,NaN,43132,NaN,NaN,NaN,NaN
5500,43486,81600,4,216.133333,30,NaN
5500,21359,30000,7,130.8,14,NaN
5500,NaN,13770,5,167.366667,8,NaN
5500,93051,115374,6,187.020519,27,27.646749
5500,87438,116679,6,186.424416,27,28.417531
5500,78059,78179,5,NaN,NaN,20.679314
5500,72147,69918,4,158.534498,23,43.40443
5500,40584,46645,4,136.320638,13,34.494709
5500,NaN,12972,1,82.294266,2,36.986744
5500,37368,48502,9,48.995845,10,33.126484
5500,NaN,66251,1,43.722337,3,41.452044
5500,71644,72696,4,150.865845,22,40.442568
5500,85845,122205,5,172.213277,26,32.676641
5600,53793,66379,22,206.099134,19,18.369541
5600,69435,83489,14,200.418434,17,22.841093
5600,29648,39907,11,180.563069,13,21.55495
5600,76407,77485,9,91.683771,24,37.773351
5600,5000,66700,31,204.066667,11,NaN
5600,55160,86800,3,148.133333,14,NaN
5600,41439,53893,8,181.32299,19,24.651396
5600,15275,47954,NaN,204.335245,12,42.39777
5700,100934,111496,23,117.499593,12,38.750563
5700,NaN,74685,NaN,NaN,NaN,24.274865
5700,49514,58249,21,212.539115,21,21.258027
5700,76948,85753,7,128.476451,25,37.859688
5700,28127,36524,10,181.282957,13,24.339534
5700,NaN,68591,0,69.64566,4,41.18504
5700,26927,35461,0,21.799352,6,29.439664
5700,49806,82242,3,210.347479,30,31.243409
5700,70000,84579,0.1,95.9,17,NaN
5700,58400,75000,4,177.5,26,NaN
5700,80437,109647,9.5,104.4,14,NaN
5700,77213,92661,0,97.133171,16,41.777889
5700,62319,82923,4,117.673965,15,42.464866
5700,71556,79538,2,92.643085,15,41.210012
5700,NaN,39052,3,272.220628,25,39.896105
5700,74172,79846,0,157.009775,28,47.415229
5700,28116,33450,0,15.396587,7,30.017013
5700,NaN,64910,NaN,NaN,NaN,33.850461
5700,NaN,69172,1,48.853667,3,38.773686
5800,NaN,36385,2,266.553394,25,43.309765
5800,NaN,41119,2,261.405219,26,42.191942
5800,75000,90543,18,300.487206,23,38.940575
5800,79296,86885,19,307.974882,23,39.959109
5800,27791,46833,3,83.289063,13,30.187805
5800,172595,250155,NaN,126.400984,21,43.20776
5800,NaN,34704,NaN,NaN,NaN,34.174056
5800,NaN,73804,1,71.766557,4,41.287423
5800,46595,58191,5,80.131746,17,24.140154
5900,NaN,28000,1,36.766667,8,NaN
5900,70973,77989,7,120.379414,24,41.4425
5900,NaN,33100,NaN,238.6,2,NaN
5900,NaN,51189,1,NaN,0,12.749181
5900,82912,91175,2,NaN,NaN,27.595274
5900,25972,41856,2,157.960011,27,40.628278
5900,74187,78976,9,118.442491,24,40.110407
5900,NaN,66903,NaN,NaN,NaN,32.782927
5900,106650,NaN,1,250.566667,23,NaN
6000,NaN,69492,NaN,NaN,NaN,32.977197
6000,95232,115977,22,149.022908,12,37.954337
6000,47625,85925,0.1,154.133333,26,NaN
6000,24600,30500,4.5,116.1,34,NaN
6000,65000,94355,26,69.3,34,NaN
6000,NaN,NaN,13,122.766667,23,NaN
6000,33600,NaN,2,140.933333,20,NaN
6000,42000,58305,19,90,13,NaN
6000,32446,54904,2,51.733333,9,NaN
6000,9660,35900,8,136.3,6,NaN
6000,22859,32200,4,83.333333,20,NaN
6000,16878,25850,1,218.6,34,NaN
6000,72951,80000,22.8,343.9,47,NaN
6000,43000,57460,1.6,101.5,13,NaN
6000,53500,64790,0.1,105.4,18,NaN
6000,69876,94394.07,0,179.566667,32,NaN
6000,51000,86125,6,222.166667,24,NaN
6000,53227,68700,3,122.733333,23,NaN
6000,NaN,43300,NaN,100.933333,9,NaN
6000,14000,61493,23,321.633333,13,NaN
6000,40000,54600,4,101.4,19,NaN
6000,18793,27750,6,119.7,8,NaN
6000,179397,200000,5,90.3,29,NaN
6000,NaN,95500,6,129.9,22,NaN
6000,79046,103048,0,181.696538,32,37.28999
6000,NaN,53190,0,NaN,0,15.174415
6000,NaN,43683,NaN,NaN,NaN,21.935499
6000,129731,154113,12,213.533333,19,NaN
6100,48500,62500,7,111.3,11,NaN
6100,NaN,47400,NaN,NaN,NaN,NaN
6100,91704,114799,22,129.25009,12,36.746766
6100,47604,54966,5,70.69533,18,24.766745
6100,NaN,35250,NaN,303,12,NaN
6100,62751,95617,1,138.646863,13,31.757271
6100,48300,53388,9,178.489602,19,26.720028
6100,68743,65321,3,153.066783,22,40.150527
6100,79636,87276,20,350.436138,47,28.848277
6100,NaN,46830,0,NaN,0,13.306013
6100,78753,95433,0,NaN,NaN,28.925117
6100,77265,97944,0,NaN,NaN,28.876463
6200,75657,84368,4,122.244945,30,32.552543
6200,171582,245730,NaN,135.10893,22,39.783818
6200,NaN,33909,NaN,NaN,NaN,34.517405
6200,46601,59486,5,84.632111,18,25.35001
6200,60354,87596,5,210.173065,23,34.054811
6200,45356,82054,2,201.334487,29,29.66171
6200,NaN,41657,NaN,293.958724,11,30.197631
6200,NaN,NaN,3,80.5,17,NaN
6200,NaN,80078,NaN,NaN,NaN,25.375544
6200,42100,57385,8.5,164.8,28,NaN
6200,70793,71552,3,162.945157,23,40.315397
6200,73881,98550,0,182.87878,31,37.199446
6200,45787,64854,4,63.117023,16,36.538747
6200,75121,96462,0,NaN,NaN,27.167656
6200,NaN,51732,NaN,NaN,NaN,12.324707
6200,133882,155222,9,212.537643,19,20.616784
6200,75623,89634,24,324.686829,47,28.285532
6200,45564,61956,2,101.16706,13,38.67514
6300,99469,116260,23,124.745595,12,35.64227
6300,55000,69000,13,130.066667,20,NaN
6300,NaN,72890,1,41.250114,3,39.198068
6300,44226,57779,7,63.626413,16,33.111829
6300,NaN,39050,NaN,294.478048,12,31.44775
6300,78724,80355,24,335.074143,46,31.177261
6300,59793,98314,2.2,120.733333,8,NaN
6300,65875,76000,0.8,84,12,NaN
6300,45582,89005,2,209.358047,30,29.595956
6300,92659,117352,6,199.011927,27,26.52005
6300,58052,70091,9,153.780439,30,21.719596
6300,49498,64296,6,111.206513,10,38.577132
6300,79667,96988,1,NaN,NaN,29.835961
6300,12476,32559,12,227.129905,23,23.319517
6300,69357,73726,3,163.283933,22,42.407814
6300,26655,29792,1,12.759267,6,28.361852
6400,25144,45200,25,128,17,NaN
6400,99131,125652,8,419.375154,50,42.244928
6400,76577,83200,5,NaN,NaN,22.055034
6400,47251,58157,0,104.792468,13,36.416887
6400,53476,70157,7,164.31541,30,21.137982
6400,81116,86148,8,262.175426,11,42.068268
6400,17491,63614,23,325.299309,12,40.244404
6400,65215,74332,9,213.832103,24,40.64462
6400,62746,75016,12,133.101548,20,40.188123
6400,76732,78084,8,109.193021,26,37.964554
6400,70035,78635,3,147.077164,31,31.20613
6400,39687,51666,9,177.591354,19,26.12096
6400,51436,91284,4,209.642898,30,31.971971
6400,44968,62747,0,101.391445,12,36.602947
6400,9113,46351,NaN,202.250796,11,45.114319
6400,28041,33438,1,10.425643,6,29.7537
6400,57887,74776,3,126.328644,22,28.756345
6500,47949,53102,9,180.84125,19,27.839007
6500,NaN,37448,NaN,333.2309,11,29.011981
6500,60054,70434,1,127.062702,21,37.800353
6500,80739,97630,1,NaN,NaN,30.531265
6500,63144,76754,2,129.077712,23,29.055433
6500,33639,37345,11,191.075656,13,24.227319
6500,78741,90599,0,NaN,NaN,29.198861
6500,51724,87770,4,209.326312,29,30.343449
6500,13600,NaN,14,115.366667,16,NaN
6500,48000,61000,1,97.299756,38,NaN
6500,65000,80400,15,224.866667,13,NaN
6500,22789,35836,1,110.566667,30,NaN
6500,75113,115900,29,332.733333,38,NaN
6500,55000,88300,29,234.4,17,NaN
6500,60000,70000,9,54.766667,24,NaN
6500,70300,107500,1,242.466667,38,NaN
6500,96314,105800,27,475.8,40,NaN
6500,81145,117530,29,327.200639,38,34.345838
6500,NaN,70886,NaN,NaN,NaN,23.470881
6500,183860,208910,4,86.452227,29,69.800525
6500,58689,72557,0,94.008053,18,34.898413
6600,62380,89742,31,232.527291,16,26.160495
6600,74376,84855,3,NaN,NaN,20.028354
6600,NaN,48800,0,NaN,0,12.219436
6600,68733,81973,5,96.977667,14,42.211047
6600,40926,50486,10,179.800868,19,27.532376
6600,95450,112630,23,122.815584,12,36.773459
6600,NaN,46516,0,NaN,0,14.845991
6600,98415,126636,11,423.209624,49,40.95709
6700,NaN,55396,NaN,NaN,NaN,15.703992
6700,55113,56486,4,84.41703,17,23.642854
6700,60301,70543,5,195.780863,19,32.397593
6700,NaN,30544,2,283.897231,14,24.120452
6700,49367,59609,6,99.303701,17,25.231366
6700,58741,68225,9,173.574416,31,23.587013
6700,27510,42495,2,171.526489,27,41.428598
6700,NaN,81239,19,NaN,NaN,40.894932
6700,69773,83014,0,263.173434,5,37.706996
6700,51855,58084,21,193.754746,19,19.549572
6700,48430,64358,0,108.351748,13,38.894195
6700,29662,36195,1,112.137081,30,38.528633
6700,66587,70710,9,43.923383,24,39.738576
6700,NaN,20631,4,174.721834,8,62.246451
6700,54161,59714,20,209.2063,20,20.203518
6700,134616,155034,13,215.422406,19,19.493872
6800,136951,160306,11,219.735673,18,20.885093
6800,138691,160063,12,208.420843,19,19.333367
6800,49809,65074,7,116.632733,10,39.215029
6800,78292,86959,3,NaN,NaN,18.927212
6800,139578,154602,12,201.960834,18,22.325829
6800,57439,74816,2,126.303235,22,27.118654
6800,76074,88178,22,341.465056,46,27.523246
6800,31000,42000,3.5,106.266667,26,NaN
6800,45150,57150,4,94.333333,12,NaN
6800,56155,57912,21,206.306321,20,21.798513
6800,NaN,27410,6,2.033333,5,NaN
6800,178559,247611,NaN,127.234141,22,42.083902
6800,NaN,72310,1,48.818836,3,40.787393
6800,71666,99913,0,196.464999,31,35.761605
6800,75964,88754,19,298.700482,23,39.107502
6900,75880,113612,1,230.805588,38,17.965883
6900,70717,87466,2,112.589061,15,41.42809
6900,53776,51952,5,87.900118,17,22.286997
6900,53328,58088,2,101.531908,21,35.764058
6900,5816,NaN,23,67.8,18,NaN
6900,57257,63752,10,138.234778,22,38.372461
6900,37055,83000,1,122.266667,43,NaN
6900,97662,110046,24,111.123397,11,37.253151
6900,49000,68280,1,61.9,22,NaN
6900,NaN,57067,NaN,NaN,NaN,14.370986
6900,50387,68443,7,105.827329,10,40.717669
6900,49932,66042,20,204.484583,19,21.855494
6900,51384,84689,4,224.247037,29,30.526151
6900,NaN,36191,NaN,311.869899,12,30.790621
7000,98779,124827,9,421.541928,49,40.828873
7000,73873,111781,0,231.799914,38,19.273579
7000,74795,99149,1,175.571443,32,34.449665
7000,NaN,47462,NaN,102.657327,9,36.094071
7000,78284,98214,0,171.838386,31,36.247963
7000,58128,93740,5,213.363028,24,34.475302
7000,81335,81018,22,341.610576,47,27.7673
7000,52287,87972,7,211.284413,24,33.461402
7000,58339,72432,10,197.338398,24,39.843087
7000,46238,66842,4,90.380409,11,36.309527
7000,142251,157250,5,87.833333,21,NaN
7000,19894,32500,4,134.7,16,NaN
7000,27290,63500,6,NaN,NaN,NaN
7000,18000,46520,17,183.1,23,NaN
7000,66000,86300,3,242.433333,8,NaN
7000,46000,66660,1,138.233333,9,NaN
7000,120000,175450,8,219.166667,20,NaN
7000,58843,75300,1.5,103.666667,7,NaN
7000,7000,31200,5,265.066667,12,NaN
7000,29000,49000,11,234.4,32,NaN
7000,5768,26600,NaN,NaN,NaN,NaN
7000,56636,76353,15,229.3,36,NaN
7000,55000,63000,5,84.733333,20,NaN
7000,46225,59000,16,219.133333,37,NaN
7000,53194,81150,14,183.633333,28,NaN
7000,83000,97635,5.6,141,10,NaN
7000,138841,160000,11,86.2,36,NaN
7000,38800,53500,15,96.366667,18,NaN
7000,25000,49840,0.6,139,13,NaN
7000,18000,25000,6.5,205.966667,19,NaN
7000,74500,81600,2,340.9,29,NaN
7000,64300,119500,1,54.833333,8,NaN
7000,64255,68389,4,80.152431,19,40.561861
7000,NaN,96783,20,NaN,NaN,40.730315
7000,129959,161301,11,209.9863,18,21.917952
7000,58114,93391,6,200.077755,24,31.736512
7000,16047,67750,21,315.321453,12,38.693656
7100,39000,55000,12,192.766667,31,NaN
7100,54000,74800,7.5,71,18,NaN
7100,NaN,74753,2,48.854645,4,41.302547
7100,98490,114457,23,116.100087,11,35.601894
7100,54700,68500,19,155.2,12,NaN
7100,NaN,40185,3,272.922685,25,41.9169
7100,25896,33580,1,29.856365,7,28.271474
7100,120176,180104,8,221.607324,18,32.674359
7100,58639,72412,14,120.033465,20,43.678747
7100,57863,70969,0,65.872045,21,26.82949
7100,64850,76985,0,108.21719,7,36.337558
7100,53273,54378,5,84.83725,17,22.8612
7200,54600,65000,14,98.433333,9,NaN
7200,62329,78007,8,55.358803,23,38.640277
7200,57912,84806,15,241.51425,35,35.062676
7200,98691,115750,22,118.000142,11,37.720359
7200,79946,113807,1,238.458825,37,18.617289
7200,36264,48240,15,82.166667,12,NaN
7200,46000,67000,24,142,14,NaN
7200,43705,50000,9,235.366667,16,NaN
7200,NaN,38061,NaN,299.752726,12,31.880033
7200,15637,39660,6,354.239763,42,33.624133
7200,NaN,74610,1,40.182135,3,37.941254
7200,71667,117325,0,241.056078,38,18.510551
7200,NaN,76723,10,70.19389,11,41.250706
7200,71509,86484,4,NaN,NaN,20.09905
7200,22832,31666,0,38.003267,7,28.295681
7300,58671,87975,3,74.066667,16,NaN
7300,60890,75785,6,45.966667,13,NaN
7300,28500,42050,3,NaN,NaN,NaN
7300,60971.32,77375,2,NaN,NaN,NaN
7300,131000,197500,1.5,68.033333,23,NaN
7300,55456,86766,6,240.056771,23,31.724698
7300,60973,79443,14,239.620298,36,36.727136
7300,93428,118184,10,411.95205,50,40.396474
7300,49064,64225,6,106.375999,10,40.051915
7300,139348,205981,1,60.424761,22,36.812291
7400,32832,50798,10,221.338421,31,36.009421
7400,75311,89905,0,NaN,NaN,27.202
7400,2063,100448,NaN,96.133333,14,NaN
7400,NaN,44651,2,271.918169,25,42.930043
7400,138033,163162,11,224.847042,19,21.057574
7400,88288,119677,5,194.37214,27,26.646084
7400,75547,93839,0,NaN,NaN,28.161832
7400,48924,86612,4,207.768414,30,29.937918
7400,73985,114849,0,238.586303,38,18.42137
7400,NaN,54138,1,NaN,0,12.21968
7400,51974,59323,4,83.346712,18,23.397635
7400,56596,72861,3,141.962149,23,28.300246
7400,71576,89068,0,94.782231,17,42.803422
7400,65032,83184,15,230.420256,35,35.415113
7400,72739,91425,3.5,128.833333,26,NaN
7400,82412,91326,19,316.947083,24,37.90875
7500,NaN,51610,4,158.266667,18,NaN
7500,45864,57799,7,65.571198,16,33.865745
7500,57340,80000,4,86.233333,14,NaN
7500,47518,60252,16,220.624984,37,26.711536
7500,63573,80601,4,111.43519,14,41.773447
7500,32070,36811,1,228.036,6,30.162214
7500,44744,60518,6,79.41123,16,34.397442
7500,NaN,49804,NaN,NaN,NaN,12.391235
7500,72097,69408,4,155.391962,23,41.600983
7500,84479,104571,23,47.832851,14,33.07501
7500,88056,104794,25,56.750113,14,30.538907
7500,11358,36892,5,286.922824,11,23.062926
7500,59000,72000,5,295.866667,19,NaN
7500,NaN,NaN,21,158.9,21,NaN
7500,35945,49750,3,122.066667,23,NaN
7500,18400,29375,6,147.1,9,NaN
7500,63500,86125,5,136.1,8,NaN
7500,33600,50125,2,146.933333,18,NaN
7500,57800,109600,4,124.133333,18,NaN
7500,NaN,40150,5,NaN,0,NaN
7500,80440,72920,8,201.5,24,NaN
7500,60000,87830,5,153.266667,16,NaN
7500,126000,151380,18,75.666667,13,NaN
7500,40936,50900,10,115.6,26,NaN
7500,NaN,26850,20,185.633333,16,NaN
7500,49100,85650,18,178.334667,29,NaN
7500,NaN,71799,4,177.5,22,NaN
7500,39600,42000,1,47.7,15,NaN
7500,42077,91676,5.5,344.9,30,NaN
7500,42721,67000,15,126.766667,23,NaN
7500,NaN,NaN,20,157.328423,20,NaN
7500,12115,35910,13,234.900751,24,24.662277
7500,67778,83368,15,227.29209,17,24.09177
7500,60192,76475,8,60.503625,24,39.280512
7500,57213,92458,28,243.157119,16,23.992353
7500,50000,80000,9,299.566667,18,NaN
7600,133475,203936,1,87.45287,23,37.005968
7600,77518,83727,4,NaN,NaN,22.65514
7600,48829,62357,3,92.941358,12,35.672274
7600,58622,77726,15,249.633761,36,34.882066
7600,NaN,28593,20,180.168937,16,35.583403
7600,49926,58588,5,64.660107,16,35.051897
7600,80900,99525,2,135.640196,26,34.777089
7600,NaN,40341,3,265.020475,25,43.300105
7700,14776,32287,NaN,NaN,NaN,34.880462
7700,32243,36369,12,180.415787,13,21.720818
